iteração,dimensão,mu,quantidade de observações,quantidade de agrupamentos,tempo de execução (s)
1,2,1.1,100,2,0.023317386003327556
2,2,1.2100000000000002,100,2,0.02352679899922805
3,2,1.3310000000000004,100,2,0.023303599999053404
4,2,1.4641000000000004,100,2,0.024231809002230875
5,2,1.6105100000000006,100,2,0.02616486299666576
6,2,1.7715610000000008,100,2,0.02382917099748738
7,2,1.9487171000000012,100,2,0.02384733499638969
8,2,2.1435888100000016,100,2,0.02364620599837508
9,2,2.357947691000002,100,2,0.02465076799853705
10,2,2.5937424601000023,100,2,0.02334325400443049
11,2,2.8531167061100025,100,2,0.02338542499637697
12,2,3.138428376721003,100,2,0.023703924998699222
13,2,3.452271214393104,100,2,0.023636446996533778
14,2,3.7974983358324144,100,2,0.02381867900112411
15,2,4.177248169415656,100,2,0.02909178899426479
16,2,4.594972986357222,100,2,0.03449170500243781
17,2,5.054470284992945,100,2,0.024449199001537636
18,2,5.55991731349224,100,2,0.025237404996005353
19,2,6.115909044841464,100,2,0.02402114299911773
20,2,6.727499949325611,100,2,0.02393226500134915
21,2,7.400249944258173,100,2,0.02399510300165275
22,2,8.14027493868399,100,2,0.02477424099924974
23,2,8.95430243255239,100,2,0.023745100996166002
24,2,9.84973267580763,100,2,0.023793494001438376
25,2,10.834705943388395,100,2,0.03779767700325465
26,2,11.918176537727234,100,2,0.02509827299945755
27,2,13.10999419149996,100,2,0.025287369004217908
28,2,14.420993610649957,100,2,0.034867101996496785
29,2,15.863092971714952,100,2,0.02898321500106249
30,2,17.44940226888645,100,2,0.03474326899595326
31,2,19.194342495775096,100,2,0.05043684900010703
32,2,21.113776745352606,100,2,0.03428087000065716
33,2,23.22515441988787,100,2,0.02872650000063004
34,2,25.54766986187666,100,2,0.029936059996543918
35,2,28.10243684806433,100,2,0.02351079099753406
1,2,1.1,100,34,4.4817783149992465
2,2,1.2100000000000002,100,34,4.437311588000739
3,2,1.3310000000000004,100,34,4.421406053996179
4,2,1.4641000000000004,100,34,4.461727075002273
5,2,1.6105100000000006,100,34,4.5140772400045535
6,2,1.7715610000000008,100,34,4.421537545000319
7,2,1.9487171000000012,100,34,4.4444873000029474
8,2,2.1435888100000016,100,34,4.459140277998813
9,2,2.357947691000002,100,34,4.479514127000584
10,2,2.5937424601000023,100,34,4.4106106819963316
11,2,2.8531167061100025,100,34,4.4124910229948
12,2,3.138428376721003,100,34,4.511982446994807
13,2,3.452271214393104,100,34,4.462895791999472
14,2,3.7974983358324144,100,34,4.439938632000121
15,2,4.177248169415656,100,34,4.429885161000129
16,2,4.594972986357222,100,34,4.4839607829999295
17,2,5.054470284992945,100,34,4.526325445003749
18,2,5.55991731349224,100,34,4.421506437000062
19,2,6.115909044841464,100,34,4.442921478999779
20,2,6.727499949325611,100,34,4.449698146003357
21,2,7.400249944258173,100,34,4.423394244004157
22,2,8.14027493868399,100,34,4.4266887300036615
23,2,8.95430243255239,100,34,4.42434060099913
24,2,9.84973267580763,100,34,4.443683348996274
25,2,10.834705943388395,100,34,4.422541056002956
26,2,11.918176537727234,100,34,4.438012708997121
27,2,13.10999419149996,100,34,4.358676843003195
28,2,14.420993610649957,100,34,4.337717624999641
29,2,15.863092971714952,100,34,4.518844120997528
