iteração,dimensão,mu,quantidade de observações,quantidade de agrupamentos,tempo de execução (s)
1,2,1.1,1000,2,0.2019222480012104
2,2,1.2100000000000002,1000,2,0.20358464500168338
3,2,1.3310000000000004,1000,2,0.1959542669937946
4,2,1.4641000000000004,1000,2,0.20927349499834236
5,2,1.6105100000000006,1000,2,0.1973820400016848
6,2,1.7715610000000008,1000,2,0.19198226599837653
7,2,1.9487171000000012,1000,2,0.19418893700640183
8,2,2.1435888100000016,1000,2,0.20756496100511868
9,2,2.357947691000002,1000,2,0.20524017899879254
10,2,2.5937424601000023,1000,2,0.1959751489921473
11,2,2.8531167061100025,1000,2,0.19618369499221444
12,2,3.138428376721003,1000,2,0.20842788099253085
13,2,3.452271214393104,1000,2,0.20786818100896198
14,2,3.7974983358324144,1000,2,0.19688662899716292
15,2,4.177248169415656,1000,2,0.19306842000514735
16,2,4.594972986357222,1000,2,0.20153038800344802
17,2,5.054470284992945,1000,2,0.19297362001088914
18,2,5.55991731349224,1000,2,0.20560560500598513
19,2,6.115909044841464,1000,2,0.20838069399178494
20,2,6.727499949325611,1000,2,0.1956967709993478
21,2,7.400249944258173,1000,2,0.1970067590009421
22,2,8.14027493868399,1000,2,0.19822704599937424
23,2,8.95430243255239,1000,2,0.20645476700155996
24,2,9.84973267580763,1000,2,0.2053780150017701
25,2,10.834705943388395,1000,2,0.19525093500851654
26,2,11.918176537727234,1000,2,0.19247320300200954
27,2,13.10999419149996,1000,2,0.20607056800508872
28,2,14.420993610649957,1000,2,0.2076472909975564
29,2,15.863092971714952,1000,2,0.20242531900294125
30,2,17.44940226888645,1000,2,0.20612485299352556
31,2,19.194342495775096,1000,2,0.19911914199474268
32,2,21.113776745352606,1000,2,0.1949286249873694
33,2,23.22515441988787,1000,2,0.2029291450016899
34,2,25.54766986187666,1000,2,0.2072363530023722
35,2,28.10243684806433,1000,2,0.19235033199947793
1,2,1.1,1000,334,3539.362696395998
2,2,1.2100000000000002,1000,334,3458.442942296999
3,2,1.3310000000000004,1000,334,3506.653575078002
4,2,1.4641000000000004,1000,334,3476.3856597939885
5,2,1.6105100000000006,1000,334,3432.658354173007
6,2,1.7715610000000008,1000,334,3416.5036237800086
7,2,1.9487171000000012,1000,334,3430.2467919899937
8,2,2.1435888100000016,1000,334,3512.303616743986
9,2,2.357947691000002,1000,334,3467.6978472399933
