iteração,dimensão,mu,quantidade de observações,quantidade de agrupamentos,tempo de execução (s)
1,2,1.1,100,2,0.020116030995268375
2,2,1.2100000000000002,100,2,0.01993614800448995
3,2,1.3310000000000004,100,2,0.02118054500897415
4,2,1.4641000000000004,100,2,0.020697113999631256
5,2,1.6105100000000006,100,2,0.021544155999436043
6,2,1.7715610000000008,100,2,0.020989149998058565
7,2,1.9487171000000012,100,2,0.020952131002559327
8,2,2.1435888100000016,100,2,0.02071340499969665
9,2,2.357947691000002,100,2,0.021683340994059108
10,2,2.5937424601000023,100,2,0.020868731997325085
11,2,2.8531167061100025,100,2,0.02083043899619952
12,2,3.138428376721003,100,2,0.02062347599712666
13,2,3.452271214393104,100,2,0.021440829994389787
14,2,3.7974983358324144,100,2,0.021566951007116586
15,2,4.177248169415656,100,2,0.020812625996768475
16,2,4.594972986357222,100,2,0.02153936799732037
17,2,5.054470284992945,100,2,0.02175791400077287
18,2,5.55991731349224,100,2,0.021354947006329894
19,2,6.115909044841464,100,2,0.02137665799818933
20,2,6.727499949325611,100,2,0.02140677500574384
21,2,7.400249944258173,100,2,0.021461569995153695
22,2,8.14027493868399,100,2,0.020835999996052124
23,2,8.95430243255239,100,2,0.022010674001649022
24,2,9.84973267580763,100,2,0.02150798799993936
25,2,10.834705943388395,100,2,0.021516253997106105
26,2,11.918176537727234,100,2,0.021356870987801813
27,2,13.10999419149996,100,2,0.021360548009397462
28,2,14.420993610649957,100,2,0.02133103100641165
29,2,15.863092971714952,100,2,0.02044076900347136
30,2,17.44940226888645,100,2,0.02125082899874542
31,2,19.194342495775096,100,2,0.02199858099629637
32,2,21.113776745352606,100,2,0.021666859989636578
33,2,23.22515441988787,100,2,0.02180133599904366
34,2,25.54766986187666,100,2,0.021691627989639528
35,2,28.10243684806433,100,2,0.020976596992113627
1,2,1.1,100,34,3.9565906380012166
2,2,1.2100000000000002,100,34,4.0323283309990074
3,2,1.3310000000000004,100,34,3.8558974379993742
4,2,1.4641000000000004,100,34,3.8238361419935245
5,2,1.6105100000000006,100,34,3.9849912610079627
6,2,1.7715610000000008,100,34,3.9989045110123698
7,2,1.9487171000000012,100,34,4.014205123996362
8,2,2.1435888100000016,100,34,3.7698601160082035
9,2,2.357947691000002,100,34,3.887560122006107
10,2,2.5937424601000023,100,34,3.9317727540037595
11,2,2.8531167061100025,100,34,3.7403226000024006
12,2,3.138428376721003,100,34,3.894170352999936
13,2,3.452271214393104,100,34,4.017439775998355
14,2,3.7974983358324144,100,34,3.8754860759945586
15,2,4.177248169415656,100,34,4.012876891007181
16,2,4.594972986357222,100,34,4.009242082000128
17,2,5.054470284992945,100,34,3.9924932120047743
18,2,5.55991731349224,100,34,3.7195409029955044
19,2,6.115909044841464,100,34,3.8000672760099405
20,2,6.727499949325611,100,34,3.9755129469995154
21,2,7.400249944258173,100,34,3.8916395349951927
22,2,8.14027493868399,100,34,4.004426965999301
23,2,8.95430243255239,100,34,4.001210242990055
24,2,9.84973267580763,100,34,3.83168027800275
25,2,10.834705943388395,100,34,3.963002894000965
26,2,11.918176537727234,100,34,4.06028310500551
27,2,13.10999419149996,100,34,4.008860380999977
28,2,14.420993610649957,100,34,3.7094214020034997
29,2,15.863092971714952,100,34,3.9768499189958675
30,2,17.44940226888645,100,34,3.7354435629968066
31,2,19.194342495775096,100,34,3.7140632160007954
32,2,21.113776745352606,100,34,3.742442285991274
33,2,23.22515441988787,100,34,3.87426965899067
34,2,25.54766986187666,100,34,3.7104500140121672
35,2,28.10243684806433,100,34,3.6964883340115193
1,2,1.1,100,66,13.972778997995192
2,2,1.2100000000000002,100,66,14.324270202996559
3,2,1.3310000000000004,100,66,13.412025495999842
4,2,1.4641000000000004,100,66,13.942312179002329
5,2,1.6105100000000006,100,66,13.907856791003724
6,2,1.7715610000000008,100,66,14.030855505989166
7,2,1.9487171000000012,100,66,15.821186453991686
8,2,2.1435888100000016,100,66,13.681067521989462
9,2,2.357947691000002,100,66,14.072480759001337
10,2,2.5937424601000023,100,66,13.555830572004197
11,2,2.8531167061100025,100,66,13.742237161000958
12,2,3.138428376721003,100,66,13.397648458994809
13,2,3.452271214393104,100,66,13.417388675996335
14,2,3.7974983358324144,100,66,14.226361409004312
15,2,4.177248169415656,100,66,14.179050168997492
16,2,4.594972986357222,100,66,13.640568034010357
17,2,5.054470284992945,100,66,13.439150702994084
18,2,5.55991731349224,100,66,13.355402175002382
19,2,6.115909044841464,100,66,13.501358491004794
20,2,6.727499949325611,100,66,13.821892135994858
21,2,7.400249944258173,100,66,13.921113901989884
22,2,8.14027493868399,100,66,13.589515794999897
23,2,8.95430243255239,100,66,13.94169179200253
24,2,9.84973267580763,100,66,14.191430753009627
25,2,10.834705943388395,100,66,13.835000560007757
26,2,11.918176537727234,100,66,13.750357906988938
27,2,13.10999419149996,100,66,13.971503430992016
28,2,14.420993610649957,100,66,13.545870075002313
29,2,15.863092971714952,100,66,14.137045210998622
30,2,17.44940226888645,100,66,13.688983060012106
31,2,19.194342495775096,100,66,14.077129828001489
32,2,21.113776745352606,100,66,14.245631052996032
33,2,23.22515441988787,100,66,13.806482708998374
34,2,25.54766986187666,100,66,13.721373941007187
35,2,28.10243684806433,100,66,13.788537096013897
1,2,1.1,100,99,30.71095468000567
2,2,1.2100000000000002,100,99,30.943331520000356
3,2,1.3310000000000004,100,99,30.880132749996847
4,2,1.4641000000000004,100,99,32.44175721600186
5,2,1.6105100000000006,100,99,31.384754622995388
6,2,1.7715610000000008,100,99,30.911645130996476
7,2,1.9487171000000012,100,99,32.24842060099763
8,2,2.1435888100000016,100,99,31.690439747995697
9,2,2.357947691000002,100,99,30.78470455900242
10,2,2.5937424601000023,100,99,31.876349927988485
11,2,2.8531167061100025,100,99,30.46227606899629
12,2,3.138428376721003,100,99,30.76436336200277
13,2,3.452271214393104,100,99,29.974986901986995
14,2,3.7974983358324144,100,99,31.136690619998262
15,2,4.177248169415656,100,99,31.445859236002434
16,2,4.594972986357222,100,99,30.651709836994996
17,2,5.054470284992945,100,99,31.238327103012125
18,2,5.55991731349224,100,99,31.246879420010373
19,2,6.115909044841464,100,99,31.363426423005876
20,2,6.727499949325611,100,99,31.11059257001034
21,2,7.400249944258173,100,99,30.8705888389959
22,2,8.14027493868399,100,99,31.901043673002278
23,2,8.95430243255239,100,99,31.38635383801011
24,2,9.84973267580763,100,99,31.49598290400172
25,2,10.834705943388395,100,99,31.953942856998765
26,2,11.918176537727234,100,99,31.595593934005592
27,2,13.10999419149996,100,99,31.078269411998917
28,2,14.420993610649957,100,99,31.844956802000524
29,2,15.863092971714952,100,99,31.3409317379992
30,2,17.44940226888645,100,99,32.38107376100379
31,2,19.194342495775096,100,99,30.895618784008548
32,2,21.113776745352606,100,99,31.11217174200283
33,2,23.22515441988787,100,99,32.08601062200614
34,2,25.54766986187666,100,99,32.5749083289993
35,2,28.10243684806433,100,99,31.185852585011162
